tokenId,name,frequency,waveNumberK,modeN,modeM,colorway,nodeDensityBps,lineThicknessBps,rarityTier,rarityName,family,patternName,frequencyBand,symmetryType,nodeArchitecture,waveDistortion,harmonicLayerCount,hashratePreview,image,animation_url
13,Chladni Node #13,355,11.287,5,10,Cyan Flux,1603,118,4,Legendary,Ring Square,Structured Drift Ring Square,Mid Resonance,Drift Symmetry,Mesh Node,Low Drift,4,22677,ipfs://SCIENTIFIC_IMAGE_CID/13.svg,
14,Chladni Node #14,997,24.038,13,20,Cyan Flux,2800,104,3,Epic,Fine Web,Dense Drift Fine Web,Dense Signal,Drift Symmetry,Dense Node,Harmonic Bend,6,42624,ipfs://SCIENTIFIC_IMAGE_CID/14.svg,
15,Chladni Node #15,97,6.538,4,5,Violet Resonance,858,123,2,Rare,Mirror Cell,Central Mirror Mirror Cell,Sub Resonance,Near Mirror,Low Ring Node,Low Drift,3,7998,ipfs://SCIENTIFIC_IMAGE_CID/15.svg,
16,Chladni Node #16,389,12.167,8,9,Violet Resonance,2103,117,1,Uncommon,Mirror Mesh,Structured Mirror Mirror Mesh,Mid Resonance,Near Mirror,Mesh Node,Low Drift,5,15413,ipfs://SCIENTIFIC_IMAGE_CID/16.svg,
17,Chladni Node #17,814,19.851,13,15,Violet Resonance,2800,108,4,Legendary,Bridge Lattice,Dense Bridge Bridge Lattice,High Signal,Bridge Symmetry,Dense Node,Soft Phase,6,46384,ipfs://SCIENTIFIC_IMAGE_CID/17.svg,
18,Chladni Node #18,150,7.633,3,7,Violet Resonance,899,122,1,Uncommon,Ring Square,Central Lattice Ring Square,Low Harmonic,Lattice Symmetry,Bridge Node,Low Drift,3,7333,ipfs://SCIENTIFIC_IMAGE_CID/18.svg,
19,Chladni Node #19,345,11.255,5,10,Violet Resonance,1603,118,1,Uncommon,Ring Square,Structured Drift Ring Square,Mid Resonance,Drift Symmetry,Mesh Node,Low Drift,4,12415,ipfs://SCIENTIFIC_IMAGE_CID/19.svg,
20,Chladni Node #20,835,20.371,11,17,Amber Sand,2800,108,0,Common,Fine Web,Dense Drift Fine Web,High Signal,Drift Symmetry,Dense Node,Soft Phase,6,22061,ipfs://SCIENTIFIC_IMAGE_CID/20.svg,
21,Chladni Node #21,312,10.53,3,10,Amber Sand,1150,118,1,Uncommon,Ring Square,Central Drift Ring Square,Lower Mid Field,Drift Symmetry,Bridge Node,Low Drift,4,9993,ipfs://SCIENTIFIC_IMAGE_CID/21.svg,
22,Chladni Node #22,774,19.27,13,14,Violet Resonance,2800,109,1,Uncommon,Mirror Mesh,Dense Mirror Mirror Mesh,High Signal,Near Mirror,Dense Node,Soft Phase,6,24759,ipfs://SCIENTIFIC_IMAGE_CID/22.svg,
23,Chladni Node #23,568,15.094,9,12,Cyan Flux,2800,113,1,Uncommon,Dense Cross,Harmonic Lattice Dense Cross,Upper Harmonic,Lattice Symmetry,Lattice Node,Low Drift,6,20317,ipfs://SCIENTIFIC_IMAGE_CID/23.svg,
24,Chladni Node #24,561,15.048,9,12,Violet Resonance,2800,113,2,Rare,Dense Cross,Harmonic Lattice Dense Cross,Upper Harmonic,Lattice Symmetry,Lattice Node,Low Drift,6,23843,ipfs://SCIENTIFIC_IMAGE_CID/24.svg,
25,Chladni Node #25,644,16.725,9,14,Amber Sand,2800,112,2,Rare,Signal Lattice,Harmonic Drift Signal Lattice,Upper Harmonic,Drift Symmetry,Dense Node,Soft Phase,6,25340,ipfs://SCIENTIFIC_IMAGE_CID/25.svg,
26,Chladni Node #26,144,7.814,3,7,Cyan Flux,903,121,2,Rare,Ring Square,Central Lattice Ring Square,Low Harmonic,Lattice Symmetry,Bridge Node,Low Drift,3,8652,ipfs://SCIENTIFIC_IMAGE_CID/26.svg,
27,Chladni Node #27,792,19.517,11,16,Violet Resonance,2800,109,3,Epic,Fine Web,Dense Drift Fine Web,High Signal,Drift Symmetry,Dense Node,Soft Phase,6,35310,ipfs://SCIENTIFIC_IMAGE_CID/27.svg,
28,Chladni Node #28,70,6.26,1,6,Violet Resonance,545,123,1,Uncommon,Fundamental Cross,Fundamental Drift Fundamental Cross,Sub Resonance,Drift Symmetry,Low Ring Node,Low Drift,2,4912,ipfs://SCIENTIFIC_IMAGE_CID/28.svg,
29,Chladni Node #29,44,5.041,3,4,Violet Resonance,655,124,3,Epic,Mirror Cell,Fundamental Mirror Mirror Cell,Sub Resonance,Near Mirror,Low Ring Node,Low Drift,2,7454,ipfs://SCIENTIFIC_IMAGE_CID/29.svg,
30,Chladni Node #30,462,13.515,6,12,Cyan Flux,2127,115,2,Rare,Ring Square,Structured Drift Ring Square,Mid Resonance,Drift Symmetry,Mesh Node,Low Drift,5,18809,ipfs://SCIENTIFIC_IMAGE_CID/30.svg,
31,Chladni Node #31,297,10.322,5,9,Violet Resonance,1476,119,2,Rare,Ring Square,Central Lattice Ring Square,Lower Mid Field,Lattice Symmetry,Mesh Node,Low Drift,4,13344,ipfs://SCIENTIFIC_IMAGE_CID/31.svg,
32,Chladni Node #32,159,7.896,5,6,Violet Resonance,1102,121,0,Common,Mirror Cell,Central Mirror Mirror Cell,Low Harmonic,Near Mirror,Bridge Node,Low Drift,3,7516,ipfs://SCIENTIFIC_IMAGE_CID/32.svg,
33,Chladni Node #33,689,17.607,9,15,Amber Sand,2800,111,5,Mythic,Signal Lattice,Harmonic Drift Signal Lattice,Upper Harmonic,Drift Symmetry,Dense Node,Soft Phase,6,54474,ipfs://SCIENTIFIC_IMAGE_CID/33.svg,
34,Chladni Node #34,949,22.335,13,18,Violet Resonance,2800,105,1,Uncommon,Fine Web,Dense Drift Fine Web,Dense Signal,Drift Symmetry,Dense Node,Soft Phase,6,27887,ipfs://SCIENTIFIC_IMAGE_CID/34.svg,
35,Chladni Node #35,748,18.501,12,14,Cyan Flux,2800,110,2,Rare,Bridge Lattice,Dense Bridge Bridge Lattice,High Signal,Bridge Symmetry,Dense Node,Soft Phase,6,28012,ipfs://SCIENTIFIC_IMAGE_CID/35.svg,
36,Chladni Node #36,843,20.424,11,17,Violet Resonance,2800,108,3,Epic,Fine Web,Dense Drift Fine Web,High Signal,Drift Symmetry,Dense Node,Soft Phase,6,36575,ipfs://SCIENTIFIC_IMAGE_CID/36.svg,
37,Chladni Node #37,291,10.16,6,8,Amber Sand,1539,119,0,Common,Bridge Lattice,Central Bridge Bridge Lattice,Lower Mid Field,Bridge Symmetry,Mesh Node,Low Drift,4,10184,ipfs://SCIENTIFIC_IMAGE_CID/37.svg,
38,Chladni Node #38,503,14.015,7,12,Violet Resonance,2400,115,2,Rare,Nested Grid,Structured Drift Nested Grid,Mid Resonance,Drift Symmetry,Lattice Node,Low Drift,5,20617,ipfs://SCIENTIFIC_IMAGE_CID/38.svg,
39,Chladni Node #39,155,7.87,5,6,Amber Sand,1102,121,4,Legendary,Mirror Cell,Central Mirror Mirror Cell,Low Harmonic,Near Mirror,Bridge Node,Low Drift,3,15775,ipfs://SCIENTIFIC_IMAGE_CID/39.svg,
40,Chladni Node #40,60,5.959,3,5,Amber Sand,737,123,1,Uncommon,Bridge Lattice,Fundamental Bridge Bridge Lattice,Sub Resonance,Bridge Symmetry,Low Ring Node,Low Drift,3,5706,ipfs://SCIENTIFIC_IMAGE_CID/40.svg,
41,Chladni Node #41,533,14.502,8,12,Violet Resonance,2673,114,3,Epic,Nested Grid,Harmonic Lattice Nested Grid,Upper Harmonic,Lattice Symmetry,Lattice Node,Low Drift,5,27401,ipfs://SCIENTIFIC_IMAGE_CID/41.svg,
42,Chladni Node #42,563,15.077,9,12,Violet Resonance,2800,113,5,Mythic,Dense Cross,Harmonic Lattice Dense Cross,Upper Harmonic,Lattice Symmetry,Lattice Node,Low Drift,6,49462,ipfs://SCIENTIFIC_IMAGE_CID/42.svg,
43,Chladni Node #43,410,12.25,7,10,Amber Sand,2061,117,4,Legendary,Orbital Cells,Structured Lattice Orbital Cells,Mid Resonance,Lattice Symmetry,Mesh Node,Low Drift,5,27923,ipfs://SCIENTIFIC_IMAGE_CID/43.svg,
44,Chladni Node #44,49,5.457,2,5,Amber Sand,618,124,2,Rare,Fundamental Cross,Fundamental Lattice Fundamental Cross,Sub Resonance,Lattice Symmetry,Low Ring Node,Low Drift,2,6030,ipfs://SCIENTIFIC_IMAGE_CID/44.svg,
45,Chladni Node #45,754,18.674,11,15,Cyan Flux,2800,109,4,Legendary,Signal Lattice,Dense Lattice Signal Lattice,High Signal,Lattice Symmetry,Dense Node,Soft Phase,6,43341,ipfs://SCIENTIFIC_IMAGE_CID/45.svg,
46,Chladni Node #46,303,10.509,3,10,Amber Sand,1149,118,3,Epic,Ring Square,Central Drift Ring Square,Lower Mid Field,Drift Symmetry,Bridge Node,Low Drift,4,14328,ipfs://SCIENTIFIC_IMAGE_CID/46.svg,
47,Chladni Node #47,901,21.49,13,17,Violet Resonance,2800,106,1,Uncommon,Fine Web,Dense Lattice Fine Web,Dense Signal,Lattice Symmetry,Dense Node,Soft Phase,6,27037,ipfs://SCIENTIFIC_IMAGE_CID/47.svg,
48,Chladni Node #48,768,19.025,10,16,Amber Sand,2800,109,2,Rare,Signal Lattice,Dense Drift Signal Lattice,High Signal,Drift Symmetry,Dense Node,Soft Phase,6,27973,ipfs://SCIENTIFIC_IMAGE_CID/48.svg,
49,Chladni Node #49,935,22.083,14,17,Cyan Flux,2800,106,4,Legendary,Dense Cross,Dense Lattice Dense Cross,Dense Signal,Lattice Symmetry,Dense Node,Soft Phase,6,51223,ipfs://SCIENTIFIC_IMAGE_CID/49.svg,
50,Chladni Node #50,717,17.898,11,14,Cyan Flux,2800,110,2,Rare,Dense Cross,Dense Lattice Dense Cross,Upper Harmonic,Lattice Symmetry,Dense Node,Soft Phase,6,27186,ipfs://SCIENTIFIC_IMAGE_CID/50.svg,
