tokenId,name,frequency,waveNumberK,modeN,modeM,nodeDensityBps,lineThicknessBps,rarityTier,rarityName,family,patternName,frequencyBand,symmetryType,nodeArchitecture,waveDistortion,harmonicLayerCount,hashratePreview,image,animation_url
20,Chladni Node #20,773,19.27,13,14,2800,109,1,Uncommon,Mirror Mesh,K72 Mirror Mesh,High Signal,Near Mirror,Dense Node,Soft Phase,6,24759,ipfs://SCIENTIFIC_IMAGE_CID/20.svg,
21,Chladni Node #21,765,18.99,10,14,2800,109,3,Epic,Signal Lattice,K71 Signal Lattice,High Signal,Lattice Symmetry,Dense Node,Soft Phase,6,32467,ipfs://SCIENTIFIC_IMAGE_CID/21.svg,
22,Chladni Node #22,577,15.37,8,13,2800,113,0,Common,Nested Grid,K53 Nested Grid,Upper Harmonic,Drift Symmetry,Lattice Node,Low Drift,6,17630,ipfs://SCIENTIFIC_IMAGE_CID/22.svg,
23,Chladni Node #23,183,8.23,4,7,1064,121,1,Uncommon,Orbital Cells,K16 Orbital Cells,Lower Mid Field,Lattice Symmetry,Bridge Node,Low Drift,3,8569,ipfs://SCIENTIFIC_IMAGE_CID/23.svg,
24,Chladni Node #24,192,8.28,2,8,801,121,1,Uncommon,Fundamental Cross,K17 Fundamental Cross,Lower Mid Field,Drift Symmetry,Open Node,Low Drift,3,7243,ipfs://SCIENTIFIC_IMAGE_CID/24.svg,
25,Chladni Node #25,763,18.98,10,14,2800,109,0,Common,Signal Lattice,K71 Signal Lattice,High Signal,Lattice Symmetry,Dense Node,Soft Phase,6,19676,ipfs://SCIENTIFIC_IMAGE_CID/25.svg,
26,Chladni Node #26,374,11.68,6,10,1830,117,2,Rare,Ring Square,K34 Ring Square,Mid Resonance,Lattice Symmetry,Mesh Node,Low Drift,5,16073,ipfs://SCIENTIFIC_IMAGE_CID/26.svg,
27,Chladni Node #27,983,22.91,13,14,2800,105,2,Rare,Fine Web,K91 Fine Web,Dense Signal,Near Mirror,Dense Node,Soft Phase,6,30184,ipfs://SCIENTIFIC_IMAGE_CID/27.svg,
28,Chladni Node #28,660,17.15,8,14,2800,111,2,Rare,Nested Grid,K61 Nested Grid,Upper Harmonic,Drift Symmetry,Dense Node,Soft Phase,6,24813,ipfs://SCIENTIFIC_IMAGE_CID/28.svg,
29,Chladni Node #29,668,17.04,11,13,2800,111,0,Common,Bridge Lattice,K62 Bridge Lattice,Upper Harmonic,Bridge Symmetry,Dense Node,Soft Phase,6,19377,ipfs://SCIENTIFIC_IMAGE_CID/29.svg,
30,Chladni Node #30,448,13.02,5,12,1854,116,2,Rare,Ring Square,K41 Ring Square,Mid Resonance,Drift Symmetry,Mesh Node,Low Drift,5,17139,ipfs://SCIENTIFIC_IMAGE_CID/30.svg,
31,Chladni Node #31,745,18.46,12,14,2800,110,2,Rare,Bridge Lattice,K69 Bridge Lattice,High Signal,Bridge Symmetry,Dense Node,Soft Phase,6,28005,ipfs://SCIENTIFIC_IMAGE_CID/31.svg,
32,Chladni Node #32,154,7.84,5,6,1101,121,0,Common,Mirror Cell,K14 Mirror Cell,Low Harmonic,Near Mirror,Bridge Node,Low Drift,3,7506,ipfs://SCIENTIFIC_IMAGE_CID/32.svg,
33,Chladni Node #33,539,14.87,7,13,2570,114,2,Rare,Nested Grid,K50 Nested Grid,Upper Harmonic,Drift Symmetry,Lattice Node,Low Drift,5,22115,ipfs://SCIENTIFIC_IMAGE_CID/33.svg,
34,Chladni Node #34,135,7.4,2,7,741,122,2,Rare,Fundamental Cross,K12 Fundamental Cross,Low Harmonic,Drift Symmetry,Open Node,Low Drift,3,7580,ipfs://SCIENTIFIC_IMAGE_CID/34.svg,
35,Chladni Node #35,132,7.38,2,7,741,122,2,Rare,Fundamental Cross,K12 Fundamental Cross,Low Harmonic,Drift Symmetry,Open Node,Low Drift,3,7577,ipfs://SCIENTIFIC_IMAGE_CID/35.svg,
36,Chladni Node #36,454,13.09,7,11,2230,116,1,Uncommon,Ring Square,K42 Ring Square,Mid Resonance,Lattice Symmetry,Lattice Node,Low Drift,5,16275,ipfs://SCIENTIFIC_IMAGE_CID/36.svg,
37,Chladni Node #37,596,15.67,7,14,2738,113,0,Common,Nested Grid,K55 Nested Grid,Upper Harmonic,Drift Symmetry,Lattice Node,Low Drift,6,17480,ipfs://SCIENTIFIC_IMAGE_CID/37.svg,
38,Chladni Node #38,714,17.86,11,14,2800,110,1,Uncommon,Dense Cross,K66 Dense Cross,Upper Harmonic,Lattice Symmetry,Dense Node,Soft Phase,6,23152,ipfs://SCIENTIFIC_IMAGE_CID/38.svg,
39,Chladni Node #39,420,12.59,6,11,1979,116,2,Rare,Ring Square,K39 Ring Square,Mid Resonance,Drift Symmetry,Mesh Node,Low Drift,5,17442,ipfs://SCIENTIFIC_IMAGE_CID/39.svg,
40,Chladni Node #40,250,9.57,5,8,1352,119,2,Rare,Orbital Cells,K23 Orbital Cells,Lower Mid Field,Lattice Symmetry,Bridge Node,Low Drift,4,12355,ipfs://SCIENTIFIC_IMAGE_CID/40.svg,
41,Chladni Node #41,696,17.84,12,13,2800,110,3,Epic,Mirror Mesh,K65 Mirror Mesh,Upper Harmonic,Near Mirror,Dense Node,Soft Phase,6,33364,ipfs://SCIENTIFIC_IMAGE_CID/41.svg,
42,Chladni Node #42,39,5.01,3,4,654,124,2,Rare,Mirror Cell,K3 Mirror Cell,Sub Resonance,Near Mirror,Low Ring Node,Low Drift,2,6089,ipfs://SCIENTIFIC_IMAGE_CID/42.svg,
43,Chladni Node #43,604,15.87,9,13,2800,113,4,Legendary,Nested Grid,K56 Nested Grid,Upper Harmonic,Lattice Symmetry,Dense Node,Low Drift,6,37989,ipfs://SCIENTIFIC_IMAGE_CID/43.svg,
44,Chladni Node #44,300,10.32,5,9,1476,119,2,Rare,Ring Square,K27 Ring Square,Lower Mid Field,Lattice Symmetry,Mesh Node,Low Drift,4,13343,ipfs://SCIENTIFIC_IMAGE_CID/44.svg,
45,Chladni Node #45,851,20.52,13,14,2800,107,1,Uncommon,Mirror Mesh,K79 Mirror Mesh,High Signal,Near Mirror,Dense Node,Soft Phase,6,25157,ipfs://SCIENTIFIC_IMAGE_CID/45.svg,
46,Chladni Node #46,379,11.75,4,11,1480,117,0,Common,Ring Square,K35 Ring Square,Mid Resonance,Drift Symmetry,Mesh Node,Low Drift,4,10584,ipfs://SCIENTIFIC_IMAGE_CID/46.svg,
47,Chladni Node #47,156,7.85,5,6,1101,121,2,Rare,Mirror Cell,K14 Mirror Cell,Low Harmonic,Near Mirror,Bridge Node,Low Drift,3,10134,ipfs://SCIENTIFIC_IMAGE_CID/47.svg,
48,Chladni Node #48,155,7.84,5,6,1101,121,5,Mythic,Mirror Cell,K14 Mirror Cell,Low Harmonic,Near Mirror,Bridge Node,Low Drift,3,21016,ipfs://SCIENTIFIC_IMAGE_CID/48.svg,
49,Chladni Node #49,100,6.83,3,6,819,122,0,Common,Orbital Cells,K9 Orbital Cells,Low Harmonic,Lattice Symmetry,Open Node,Low Drift,3,5851,ipfs://SCIENTIFIC_IMAGE_CID/49.svg,
50,Chladni Node #50,719,18.11,10,14,2800,110,1,Uncommon,Signal Lattice,K67 Signal Lattice,Upper Harmonic,Lattice Symmetry,Dense Node,Soft Phase,6,22393,ipfs://SCIENTIFIC_IMAGE_CID/50.svg,
